followers,likes,comments,post_type,day_of_week,time_of_day,hashtags_count,reach
18000,1200,70,video,Friday,20,11,7200.0
5500,220,12,image,Tuesday,14,4,1400.0
13000,900,55,reel,Sunday,19,9,6600.0
2500,110,4,image,Monday,11,3,850.0
10500,680,35,video,Thursday,18,7,4900.0
3700,150,7,image,Wednesday,10,2,950.0
16000,1300,75,reel,Saturday,21,10,7800.0
6800,310,17,video,Friday,16,5,2500.0
4000,190,9,image,Tuesday,13,3,1200.0
9000,550,28,reel,Sunday,18,6,4300.0
22000,1600,100,video,Thursday,20,12,8900.0
4600,210,10,image,Monday,12,4,1300.0
12500,800,45,reel,Saturday,17,8,5900.0
2700,115,5,image,Wednesday,9,2,850.0
9500,600,30,video,Friday,15,6,4700.0
3000,130,6,image,Tuesday,10,3,900.0
15000,1100,65,reel,Sunday,20,10,7100.0
7500,340,19,video,Thursday,14,5,2700.0
3500,145,7,image,Monday,13,3,1000.0
17000,1400,85,reel,Saturday,22,11,8000.0
9670,1797,88,video,Friday,20,10,5988.417462377712
12006,799,85,video,Friday,20,10,4170.482734468316
16175,1958,107,video,Friday,20,17,6065.914744317565
14347,452,192,video,Friday,20,6,6011.71099692613
2406,90,99,video,Friday,20,3,1261.9982894385173
12243,697,184,video,Friday,20,11,3859.4664599741327
5419,879,155,video,Friday,20,1,2030.4456137485124
6026,833,104,video,Friday,20,5,2334.483933272664
23912,170,85,video,Friday,20,1,8099.44284785919
23911,433,34,video,Friday,20,2,16076.953023423452
24791,572,84,video,Friday,20,10,14902.65392627031
19040,1806,134,video,Friday,20,17,6702.319297526394
22397,782,112,video,Friday,20,2,11242.838690391156
18671,1013,145,video,Friday,20,18,9225.339375640793
13405,647,16,video,Friday,20,8,7666.881521029386
24330,1051,33,video,Friday,20,17,9264.278748037219
17029,414,16,video,Friday,20,4,10855.847020457062
20972,919,56,video,Friday,20,8,13254.84688659978
6541,318,174,video,Friday,20,14,3663.6541591077107
13514,1956,58,video,Friday,20,10,8326.740965696554
12629,786,122,video,Friday,20,6,4164.411658967676
17211,1753,115,video,Friday,20,15,11990.506127957124
7690,670,112,video,Friday,20,4,5175.134785691844
20590,1031,123,video,Friday,20,19,9431.79047353521
15588,1218,43,video,Friday,20,12,8128.9926566904105
7502,1812,48,video,Friday,20,1,2769.5862409702613
5231,668,174,video,Friday,20,16,2547.1680101078036
13902,116,75,video,Friday,20,1,9140.648353572647
9844,445,50,video,Friday,20,1,5511.385730803583
16031,1076,173,video,Friday,20,15,9041.648834924703
10966,772,132,video,Friday,20,15,5406.562082307138
23545,1651,38,video,Friday,20,16,7438.0097667750715
19715,549,59,video,Friday,20,12,13546.535183316102
15843,570,142,video,Friday,20,17,8665.806860623437
5000,156,124,video,Friday,20,5,2179.3291015835593
23163,51,75,video,Friday,20,15,7154.955115214939
20264,1744,5,video,Friday,20,6,10437.21897211775
20915,1215,200,video,Friday,20,9,12939.2124437165
8410,1940,143,video,Friday,20,1,4464.334048870763
15686,1044,79,video,Friday,20,12,7206.421959650582
12523,558,147,video,Friday,20,9,8155.147289323846
23863,660,132,video,Friday,20,14,10646.3878925782
24646,645,48,video,Friday,20,14,16522.991212168377
5526,386,198,video,Friday,20,19,3007.521910068991
19392,1110,88,video,Friday,20,10,7346.055567653691
7693,1018,154,video,Friday,20,20,4376.536174625445
4981,897,46,video,Friday,20,11,2869.7305192607914
21171,720,196,video,Friday,20,11,8478.094885073257
22791,1425,30,video,Friday,20,8,13044.72691926303
19468,1226,17,video,Friday,20,15,11026.236230196626
10669,868,9,video,Friday,20,14,6291.4410474529395
3416,1258,37,video,Friday,20,7,2319.556593261048
21209,530,90,video,Friday,20,20,12852.0819867969
13335,1942,70,video,Friday,20,19,5098.624755226373
2039,1885,130,video,Friday,20,18,777.5416086934613
2709,822,143,video,Friday,20,7,1162.0905337690829
